"Location"," Lat"," Ln",
"Underi-Furen Innertkirchen"," 46.7280779"," 8.3325341",
"Underi-Furen Innertkirchen"," 46.7280779"," 8.3325341",
"Hopflauenen"," 46.71429999999999"," 8.27834",
"Hopflauenen"," 46.71429999999999"," 8.27834",
"Innertkirchen"," 46.70517659999999"," 8.227401",
"Meiringen Haselholz"," 46.7251614"," 8.1909081",
"Meiringen"," 46.7251614"," 8.1909081",
"Schattenhalb"," 46.7185473"," 8.1911357",
"Schattenhalb"," 46.7185473"," 8.1911357",
"Schattenhalb"," 46.7185473"," 8.1911357",
"Brienz"," 46.7541541"," 8.0316899",
"Grindelwald"," 46.624164"," 8.0413962",
"Luetschental"," 46.6382294"," 7.949146799999999",
"Lauterbrunnen Stechelberg"," 46.5452567"," 7.902656100000001",
"Saxeten"," 46.6363957"," 7.8311603",
"Wilderswil"," 46.6652174"," 7.8689183",
"Interlaken Kanal"," 46.6863481"," 7.863204899999999",
"Unterseen"," 46.6852116"," 7.848157400000001",
"Kandersteg Eggeschwand"," 46.47908899999999"," 7.665742399999999",
"Kandersteg Zilfuri"," 46.4947325"," 7.674435700000001",
"Kandersteg Dorf"," 46.4947325"," 7.674435700000001",
"Inner-Kandergrund"," 46.5443255"," 7.662839",
"Adelboden Engstligenalp"," 46.4308464"," 7.580008899999998",
"Reichenbach Losplatte"," 46.5760797"," 7.732413599999998",
"Adelboden Moosweid"," 46.4957862"," 7.575569600000001",
"Adelboden"," 46.4930889"," 7.5595123",
"Laengmad am Thunersee"," 46.7315725"," 7.669203500000001",
"St. Stephan Matten"," 46.50065"," 7.427209999999999",
"St. Stephan"," 46.50595"," 7.402049999999999",
"Boltigen Garstatt"," 46.592939"," 7.374384699999999",
"Weissenburg"," 46.65835999999999"," 7.475439999999999",
"Erlenbach"," 47.3052989"," 8.597147099999999",
"Erlenbach"," 47.3052989"," 8.597147099999999",
"Simmenfluh (Wimmis)"," 46.6793"," 7.620889999999999",
"Thun"," 46.7579868"," 7.6279881",
"Thun"," 46.7579868"," 7.6279881",
"Thun Kanal (Uttigenstr.)"," 46.7665527"," 7.6082304",
"Blumenstein"," 46.74109989999999"," 7.5204564",
"Bern Matte"," 46.9469347"," 7.4566801",
"Engehalde"," 46.9566886"," 7.4397875",
"Felsenau"," 46.9729483"," 7.4407539",
"Buttenried"," 46.9634867"," 7.2760822",
"Innergsteig"," 46.3793924"," 7.274475099999999",
"Lauenen bei Gstaad"," 46.42427"," 7.32261",
"Gsteig b.Gstaad"," 46.3852631"," 7.267346",
"Château d'Oex Gerignoz"," 46.47112"," 7.16535",
"Montbovon"," 46.483332"," 7.033328999999999",
"Lessoc"," 46.499998"," 7.066657999999999",
"Grandvillard"," 46.54092800000001"," 7.086142799999999",
"Jaun"," 46.6103237"," 7.286142900000001",
"Charmey La Tzintre"," 46.6099535"," 7.183172399999999",
"Charmey Le Perre"," 46.6150944"," 7.167405499999999",
"Broc"," 46.6042074"," 7.0974945",
"Rossens"," 46.7205552"," 7.1041753",
"Rossens"," 46.7205552"," 7.1041753",
"Hauterive"," 47.01564279999999"," 6.9725091",
"Fribourg Maigrauge"," 46.799859"," 7.15856",
"Fribourg Oelberg"," 46.8064773"," 7.161971899999999",
"Weissenburg_Del"," 46.658333"," 7.475556",
"Schiffenen"," 46.8504861"," 7.1581707",
"Niederried Radelfingen"," 47.0117074"," 7.2505417",
"Aarberg"," 47.0420553"," 7.2751012",
"Kallnach"," 47.0183474"," 7.2354559",
"Hagneck"," 47.05672"," 7.185700000000001",
"Hagneck"," 47.05672"," 7.185700000000001",
"La Dernier"," 46.8547534"," 6.5014409",
"Vallorbe"," 46.71199650000001"," 6.3791102",
"Les Clees"," 46.7316468"," 6.462812899999999",
"Montcherand"," 46.73381000000001"," 6.50864",
"Orbe"," 46.7293301"," 6.5323588",
"Orbe"," 46.7293301"," 6.5323588",
"Orbe"," 46.7293301"," 6.5323588",
"La Doux / St.Sulpice"," 46.90982409999999"," 6.5643666",
"St.Sulpice"," 46.51011399999999"," 6.558195100000001",
"Noiraigue Le Furcil"," 46.953016"," 6.730449399999999",
"Brot - Dessous"," 46.9558416"," 6.747745399999999",
"Brot-Dessous Les Moyats"," 46.9530554"," 6.7586432",
"Boudry Combe-Garot"," 46.9626054"," 6.7967014",
"Boudry"," 46.9542921"," 6.8478409",
"Boudry"," 46.9542921"," 6.8478409",
"Neuchâtel Serrieres"," 46.9814848"," 6.899276299999999",
"Neuchâtel Serrieres"," 46.9814848"," 6.899276299999999",
"Neuchâtel Serrieres"," 46.9814848"," 6.899276299999999",
"La Serriere Neuchâtel"," 46.9814848"," 6.899276299999999",
"Sonceboz"," 47.1957402"," 7.178649399999999",
"Pery Rondchâtel"," 47.1731531"," 7.2485734",
"Pery Frinvillier"," 47.1876743"," 7.3000893",
"Frinvillier"," 47.169073"," 7.2568416",
"Biel-Boezingen"," 47.1544144"," 7.2726701",
"Boezingen"," 47.1544144"," 7.2726701",
"Bruegg"," 47.1237068"," 7.281258800000001",
"Ruederswil"," 46.9834237"," 7.723239500000001",
"Gohlhusbruegg Luetzelflueh"," 47.001362"," 7.692176300000001",
"Baetterkinden"," 47.1306664"," 7.539792899999999",
"Baetterkinden"," 47.1306664"," 7.539792899999999",
"Utzenstorf"," 47.12816670000001"," 7.5588034",
"Wiler bei Utzenstorf"," 47.1523824"," 7.5591746",
"Biberist"," 47.1818339"," 7.5577799",
"Derendingen"," 47.1952433"," 7.585593099999999",
"Luterbach"," 47.2159256"," 7.587512500000001",
"Luterbach"," 47.2159256"," 7.587512500000001",
"Riedholz"," 47.2301841"," 7.565355399999999",
"Bannwil"," 47.2402164"," 7.737478299999999",
"Oberwynau"," 47.254568"," 7.7897914",
"Schwarzhaeusern"," 47.2519786"," 7.766630200000001",
"Boningen"," 47.306647"," 7.8563888",
"Aarburg"," 47.3205914"," 7.9066923",
"Olten"," 47.3499624"," 7.903703399999999",
"Niedergoesgen"," 47.3729363"," 7.992261699999999",
"Aarau"," 47.390434"," 8.0457015",
"Aarau"," 47.390434"," 8.0457015",
"Aarau"," 47.390434"," 8.0457015",
"Auenstein"," 47.4166971"," 8.1362613",
"Rupperswil"," 47.4051347"," 8.1290407",
"Niederlenz"," 47.4015698"," 8.1761165",
"Schinznach-Dorf"," 47.4474737"," 8.1427966",
"Villnachern"," 47.46941200000001"," 8.1631666",
"Doettingen"," 47.570768"," 8.2588195",
"Doettingen"," 47.570768"," 8.2588195",
"Klingnau Gippingen"," 47.5810229"," 8.2489572",
"Hospental"," 46.6179587"," 8.567440099999999",
"Realp"," 46.5992257"," 8.5026469",
"Realp"," 46.5992257"," 8.5026469",
"Andermatt"," 46.6339116"," 8.5935627",
"Goeschenen"," 46.6681092"," 8.5894896",
"Goeschenen"," 46.6681092"," 8.5894896",
"Goeschenen"," 46.6681092"," 8.5894896",
"Pfaffensprung"," 46.7136569"," 8.6089007",
"Wassen Pfaffensprung"," 46.7136569"," 8.6089007",
"Gurtnellen"," 46.73796"," 8.62781",
"Gurtnellen"," 46.73796"," 8.62781",
"Bristen"," 46.73699999999999"," 8.681239999999999",
"Amsteg"," 46.79173549999999"," 8.6694779",
"Amsteg"," 46.79173549999999"," 8.6694779",
"Amsteg"," 46.79173549999999"," 8.6694779",
"Erstfeld Ripshusen"," 46.8421005"," 8.633662",
"Erstfeld Ripshusen"," 46.8421005"," 8.633662",
"Unterschaechen"," 46.86332789999999"," 8.7705289",
"Unterschaechen"," 46.86332789999999"," 8.7705289",
"Buerglen"," 46.8761523"," 8.664463099999999",
"Buerglen"," 46.8761523"," 8.664463099999999",
"Altdorf"," 46.8821272"," 8.642843599999999",
"Isenthal"," 46.91059250000001"," 8.5619813",
"Seedorf"," 46.88092"," 8.61352",
"Seedorf"," 46.88092"," 8.61352",
"Bisisthal Sahli"," 46.942972"," 8.830808",
"Bisisthal Sahli"," 46.942972"," 8.830808",
"Bisisthal"," 46.942972"," 8.830808",
"Muotathal"," 46.9740171"," 8.7622473",
"Muotathal"," 46.9740171"," 8.7622473",
"Ibach"," 47.011067"," 8.644371999999999",
"Ibach"," 47.011067"," 8.644371999999999",
"Brunnen"," 46.9993073"," 8.609382199999999",
"Steinen Mueliacher"," 47.0495934"," 8.613133999999999",
"Beckenried"," 46.9704961"," 8.4657007",
"Engelberg Stalden"," 46.8061642"," 8.4446472",
"Engelberg"," 46.8200266"," 8.4069918",
"Engelberg"," 46.8200266"," 8.4069918",
"Grafenort"," 46.8200266"," 8.4069918",
"Grafenort"," 46.8200266"," 8.4069918",
"Wolfenschiessen"," 46.9081639"," 8.3959084",
"Wolfenschiessen Flueglisloo"," 46.9081639"," 8.3959084",
"Oberrickenbach"," 46.9081639"," 8.3959084",
"Wolfenschiessen"," 46.9081639"," 8.3959084",
"Buochs"," 46.9735985"," 8.420352",
"Lungern"," 46.7858188"," 8.159704",
"Kaiserstuhl"," 47.5675585"," 8.418268900000001",
"Giswil"," 46.838212"," 8.1872814",
"Giswil"," 46.838212"," 8.1872814",
"Sachseln Obflue"," 46.8671605"," 8.2393778",
"Kerns Stoeckalp"," 46.802839"," 8.2788854",
"Kerns Wisserlen"," 46.9139202"," 8.296059999999999",
"Alpnach Eichibruecke"," 46.9380412"," 8.2701754",
"Stansstad Rotzloch"," 46.965069"," 8.3298308",
"Luzern"," 47.05016819999999"," 8.3093072",
"Wolhusen"," 47.0586361"," 8.0731633",
"Malters"," 47.0369701"," 8.183899199999999",
"Kriens/Obernau"," 47.03084"," 8.2515",
"Littau"," 47.0507712"," 8.264809399999999",
"Emmenbruecke"," 47.07723379999999"," 8.275637",
"Emmen"," 47.07723379999999"," 8.275637",
"Perlen Buchrain"," 47.09638289999999"," 8.3477709",
"Perlen Root"," 47.11068"," 8.36224",
"Unteraegeri"," 47.1368093"," 8.5830915",
"Neuaegeri Gmde Menzingen"," 47.15085999999999"," 8.563749999999999",
"Lorzentobel Nidfuren"," 47.17460639999999"," 8.534381999999999",
"Lorzentobel"," 47.1672222"," 8.559722200000001",
"Baar"," 47.1953729"," 8.526087",
"Friesencham Cham"," 47.1962376"," 8.4489004",
"Hagendorn"," 47.2031877"," 8.4322035",
"Bremgarten"," 47.34917739999999"," 8.3397905",
"Bremgarten"," 47.34917739999999"," 8.3397905",
"Windisch"," 47.4789604"," 8.2159655",
"Linthal Ochsenstafel"," 46.9218287"," 8.9996438",
"Linthal Ochsenstafel"," 46.9218287"," 8.9996438",
"Linthal Tierfehd"," 46.8784824"," 8.9820654",
"Linthal Tierfehd"," 46.8784824"," 8.9820654",
"Linthal Tierfehd"," 46.8784824"," 8.9820654",
"Linthal"," 46.9218287"," 8.9996438",
"Linthal"," 46.9218287"," 8.9996438",
"Linthal"," 46.9218287"," 8.9996438",
"Linthal"," 46.9218287"," 8.9996438",
"Linthal Stachelberg"," 46.92772660000001"," 9.0011233",
"Braunwald"," 46.9393043"," 8.9981219",
"Rueti"," 47.2566995"," 8.854421",
"Rueti Gmde Glarus Sued"," 46.9368871"," 9.016067000000001",
"Diesbach"," 46.916667"," 9.049999999999999",
"Haetzingen"," 46.95"," 9.033332999999999",
"Luchsingen"," 46.9672905"," 9.036788999999999",
"Leuggelbach"," 46.966667"," 9.0499999",
"Haslen"," 46.9808737"," 9.055884299999999",
"Schwanden"," 46.9941626"," 9.073914499999999",
"Elm"," 46.91979569999999"," 9.172340499999999",
"Matt"," 46.9578717"," 9.1715862",
"Engi (Glarus Sued)"," 46.9821094"," 9.153222699999999",
"Engi Vorderdorf (Glarus Sued)"," 46.9821094"," 9.153222699999999",
"Schwanden"," 46.9941626"," 9.073914499999999",
"Schwanden"," 46.9941626"," 9.073914499999999",
"Schwanden"," 46.9941626"," 9.073914499999999",
"Schwanden"," 46.9941626"," 9.073914499999999",
"Mitloedi"," 47.0106005"," 9.0799644",
"Mitloedi (Glarus Sued)"," 47.0106005"," 9.0799644",
"Ennenda"," 47.0338781"," 9.077552899999999",
"Mitloedi Gmde. Glarus Sued"," 47.0106005"," 9.0799644",
"Ennenda Alpenbrueggli"," 47.0508495"," 9.0690901",
"Netstal"," 47.0633697"," 9.0550398",
"Netstal"," 47.0633697"," 9.0550398",
"Netstal"," 47.0633697"," 9.0550398",
"Mels"," 47.0478375"," 9.4224018",
"Mels Steigs"," 47.0478375"," 9.4224018",
"Mels"," 47.0478375"," 9.4224018",
"Mels"," 47.0478375"," 9.4224018",
"Plons Gmde. Mels"," 47.0562"," 9.399469999999999",
"Flums"," 47.09164610000001"," 9.3425546",
"Flums"," 47.09164610000001"," 9.3425546",
"Flums Ruefi"," 47.0837671"," 9.3483662",
"Flums"," 47.09164610000001"," 9.3425546",
"Walenstadt"," 47.12398"," 9.31603",
"Flums"," 47.09164610000001"," 9.3425546",
"Toebeli"," 46.5776201"," 9.3787871",
"Mols Tal"," 46.818188"," 8.227511999999999",
"Oberterzen"," 47.102403"," 9.255855000000002",
"Murgtal Merlen"," 47.5061724"," 8.941068999999999",
"Murgtal Unter Plaetz"," 47.5061724"," 8.941068999999999",
"Murgtal Unter Plaetz"," 47.5061724"," 8.941068999999999",
"Murgtal Unter Plaetz"," 47.5061724"," 8.941068999999999",
"Murg unterhalb Goedis"," 47.5061724"," 8.941068999999999",
"Murg"," 47.5061724"," 8.941068999999999",
"Amden Muslen"," 47.1380727"," 9.1355582",
"Ruetiberg / Naefels"," 47.0920934"," 9.0345532",
"Ruetiberg / Naefels"," 47.0920934"," 9.0345532",
"Naefels"," 47.0993576"," 9.0677737",
"Niederurnen"," 47.125507"," 9.0531505",
"Ziegelbruecke"," 47.1339"," 9.0613",
"Uznach"," 47.2243722"," 8.9841417",
"Vorderthal Rempen"," 47.1393237"," 8.899421499999999",
"Siebnen"," 47.1744948"," 8.897176",
"Galgenen Vorauen"," 47.18267729999999"," 8.8578858",
"Rueti"," 47.2566995"," 8.854421",
"Altendorf"," 47.1914822"," 8.829904299999999",
"Baech"," 47.199995"," 8.716671999999999",
"Schindellegi"," 47.1748077"," 8.712788699999999",
"Wollerau"," 47.19717"," 8.713379999999999",
"Schoenenberg"," 47.1932312"," 8.644027",
"Zuerich"," 47.3768866"," 8.541694",
"Zuerich"," 47.3768866"," 8.541694",
"Zuerich"," 47.3768866"," 8.541694",
"Dietikon"," 47.4053885"," 8.39977",
"Wettingen"," 47.4659503"," 8.3265988",
"Wettingen"," 47.4659503"," 8.3265988",
"Baden"," 47.47288"," 8.30809",
"Baden"," 47.47288"," 8.30809",
"Baden Chappelerhof"," 47.4834769"," 8.2854204",
"Untersiggenthal Schiffmueli"," 47.4978612"," 8.2638309",
"Untersiggenthal Schiffmueli"," 47.4978612"," 8.2638309",
"Turgi"," 47.4887974"," 8.2547897",
"Turgi"," 47.4887974"," 8.2547897",
"Untersiggenthal"," 47.4978612"," 8.2638309",
"Haetzingen"," 46.95"," 9.033332999999999",
"Ulrichen Altstafel"," 46.5312148"," 8.327779999999999",
"Oberwald St. Niklaus"," 46.532881"," 8.345476399999999",
"Ulrichen zum Loch"," 46.50347"," 8.3178",
"Muenster Moos"," 46.486934"," 8.263605",
"Wiler Muenster-Geschinen"," 46.5013769"," 8.2904165",
"Reckingen"," 46.4695173"," 8.2451355",
"Grafschaft"," 46.4553356"," 8.2169557",
"Rappental"," 46.818188"," 8.227511999999999",
"Neubrigg"," 46.818188"," 8.227511999999999",
"Fieschertal"," 46.4245787"," 8.143049",
"Fiesch"," 46.4014491"," 8.1333135",
"Niederernen"," 46.393056"," 8.136111",
"Heiligkreuz Laengtal"," 46.9461658"," 8.0561115",
"Heiligkreuz"," 46.9461658"," 8.0561115",
"Moerel"," 46.3567261"," 8.0466357",
"Moerel"," 46.3567261"," 8.0466357",
"Bitsch"," 46.3360083"," 8.01573",
"Bitsch Biel"," 46.3360083"," 8.01573",
"Naters"," 46.3239282"," 7.9916569",
"Mund In de Faeldu (Gem.Naters)"," 46.3135442"," 7.948193799999999",
"Ried-Brig"," 46.31726"," 8.01774",
"Ried-Brig"," 46.31726"," 8.01774",
"Ried-Brig"," 46.31726"," 8.01774",
"Brig-Glis"," 46.3158992"," 7.987820800000001",
"Badhalte Brig-Glis"," 46.298632"," 7.909489799999998",
"Ried-Brig"," 46.31726"," 8.01774",
"Saas Almagell Zermeiggern"," 46.092438"," 7.957589999999999",
"Saas Almagell Zermeiggern"," 46.092438"," 7.957589999999999",
"Saas-Fee Wichulti"," 46.1091073"," 7.9297122",
"Stalden"," 46.2331036"," 7.870670499999999",
"Mossjesee Zermatt"," 46.017979"," 7.747755",
"Zermatt"," 46.0207133"," 7.749117000000001",
"Zermatt Alterhaupt"," 46.022232"," 7.738173",
"Zermatt"," 46.0207133"," 7.749117000000001",
"Taesch"," 46.0679692"," 7.775904499999999",
"St. Niklaus"," 46.1762332"," 7.804591699999999",
"Eisten VS"," 46.19739999999999"," 7.895079999999998",
"Toerbel Gappil"," 46.2344525"," 7.847156699999998",
"Stalden Riedji"," 46.24041"," 7.896339999999999",
"Stalden Ackersand"," 46.2405271"," 7.875593199999999",
"Stalden Ackersand"," 46.2405271"," 7.875593199999999",
"Vispenterminen Chrizji"," 46.2653533"," 7.896274099999999",
"Vispenterminen Stundhues"," 46.818188"," 8.227511999999999",
"Baltschieder"," 46.308"," 7.863670000000001",
"Tscherggen"," 46.783333"," 9.664444",
"Unterbaech"," 46.2849335"," 7.7991647",
"Eischoll"," 46.29327"," 7.780620000000001",
"Unterbaech"," 46.2849335"," 7.7991647",
"Raron"," 46.3090067"," 7.80016",
"Niedergesteln Turtig"," 46.3023624"," 7.796839100000001",
"Niedergesteln"," 46.3137237"," 7.781042599999999",
"Niedergesteln"," 46.3137237"," 7.781042599999999",
"Blatten"," 46.4201048"," 7.8199932",
"Blatten"," 46.4201048"," 7.8199932",
"Wiler (Loetschen)"," 46.4022173"," 7.782755599999999",
"Ferden"," 46.3939824"," 7.759474599999999",
"Steg-Hohtenn"," 46.3139432"," 7.751228800000001",
"Oberems"," 46.281652"," 7.695524400000001",
"Oberems"," 46.281652"," 7.695524400000001",
"Oberems Meretschialp"," 46.281652"," 7.695524400000001",
"Turtmann Muellacheren"," 46.2968764"," 7.680516600000001",
"Dalaloch Leuk-Stadt"," 46.3176773"," 7.635166499999999",
"Chippis"," 46.2795072"," 7.541926899999999",
"Grimentz-Lona Val de Moiry"," 46.17997279999999"," 7.576435900000001",
"Ayer Mottec"," 46.1524459"," 7.6226552",
"Ayer Vissoie"," 46.2152089"," 7.585594200000001",
"Ayer Vissoie"," 46.2152089"," 7.585594200000001",
"Chippis"," 46.2795072"," 7.541926899999999",
"Croix / Ayent"," 46.3107748"," 7.425255399999998",
"Chamarin / Ayent"," 46.2765711"," 7.4058146",
"Crans-Montana R. Bourgeoisie"," 46.3163243"," 7.520893199999999",
"Icogne"," 46.290802"," 7.4381663",
"St-Leonard Mangol"," 46.25347"," 7.418330000000001",
"St. Leonard"," 46.25347"," 7.418330000000001",
"Heremence Sauterot"," 46.174191"," 7.4101483",
"Heremence"," 46.1724731"," 7.421453899999999",
"Bramois"," 46.2334172"," 7.4056447",
