Location,Startup, Lat, Ln
Niedergösgen,1917.0,,
Blumenstein,1918.0,46.74109989999999,7.5204564
Piotta,1920.0,46.513290000000005,8.67487
Piotta,1968.0,46.513290000000005,8.67487
Rüti,1920.0,,
"Chez Theurillat, Haute-Sorne",1920.0,,
Ennenda,1920.0,47.0338781,9.0775529
Buttenried,1920.0,46.963486700000004,7.2760822
Zweidlen,1920.0,47.562501,8.470274
Vaz/Obervaz,1920.0,46.72594,9.55765
Giswil,1921.0,46.838212,8.1872814
Giswil,2013.0,46.838212,8.1872814
"Linthal, Stachelberg",1921.0,,
Broc,1921.0,46.6042074,7.097494500000001
"Airolo, Launc",1922.0,,
Küblis,1922.0,,
Schwarzhäusern,1923.0,,
Le Châtelard,1923.0,,
Le Châtelard,1929.0,,
"Poschiavo, Bernina",1923.0,,
"Turtmann, Müllacheren",1925.0,,
Avully / Chancy,1925.0,,
Klosters,1925.0,46.8699029,9.8828697
Rodi-Fiesso,1925.0,46.49073,8.73758
"Trempel, Ebnat-Kappel",1925.0,,
Näfels,1925.0,,
"Vorderthal, Rempen",1926.0,,
Oberems,1926.0,46.281652,7.695524400000001
Oberems,2009.0,46.281652,7.695524400000001
Siebnen,1926.0,47.1744948,8.897176
Sonvico,1926.0,46.0580636,8.990180800000001
"Oberems, Meretschialp",1926.0,,
Vernayaz,1927.0,46.13465,7.03959
Vernayaz,2013.0,46.13465,7.03959
Vernayaz,2016.0,46.13465,7.03959
"Poschiavo, Cavaglia",1927.0,,
La Peuffeyre,1927.0,46.2670446,7.057516000000001
Oberterzen,1927.0,47.102403,9.255855000000002
"Poschiavo, Alpe Palü",1927.0,,
"Buchs, Altendorf",1928.0,,
Klosters-Dorf,1928.0,46.8836044,9.874831599999998
"Stalden, Riedji",1929.0,,
"Sembrancher, Les Moulins",1929.0,,
Leuggelbach,1930.0,46.966667,9.049999900000001
Champsec,1930.0,46.05710999999999,7.2429700000000015
"Erstfeld, Ripshusen",1931.0,,
"Erstfeld, Ripshusen",1963.0,,
"Mels, Steigs",1931.0,,
Orsières,1931.0,,
Orsières,1996.0,,
Emmenbrücke,1931.0,,
Schwörstadt,1931.0,,
"Kembs, Loechle",1932.0,,
Celerina,1932.0,46.51233329999999,9.858951800000002
Handegg,1932.0,46.6125128,8.3068901
Handegg,1950.0,46.6125128,8.3068901
Handegg,1976.0,46.6125128,8.3068901
"Lavorgo, Nivo di Chironico",1932.0,,
Albbruck,1933.0,47.59465729999999,8.136298700000001
"Roseg, Samedan",1933.0,,
Wettingen,1933.0,47.465950299999996,8.3265988
Wettingen,2007.0,47.465950299999996,8.3265988
Dietikon,1933.0,47.4053885,8.39977
"Klingnau, Gippingen",1935.0,,
Bivio,1936.0,46.4677669,9.6504508
Oberrickenbach,1937.0,46.9081639,8.3959084
Altendorf,1937.0,47.1914822,8.829904299999997
"Adelboden, Engstligenalp",1937.0,,
Luchsingen,1940.0,46.967290500000004,9.036789
"Engelberg, Stalden",1941.0,,
Reckingen,1941.0,46.46951729999999,8.2451355
Reckingen,1990.0,46.46951729999999,8.2451355
Nenzlingen,1942.0,47.447616,7.5619486999999985
Brig-Glis,1942.0,46.315899200000004,7.9878208000000015
"Riddes, Pied du Mont",1942.0,,
Niederlenz,1943.0,47.4015698,8.1761165
Trun,1943.0,46.743152200000004,8.991023
Trun,1999.0,46.743152200000004,8.991023
Russin,1943.0,46.1880652,6.013571900000001
Pt. de la Tsi / Liddes,1943.0,45.9919529,7.185819599999999
