ZE-Name,ZE-Standort,ZE-Kanton,ZE-Status,ZE-Erste Inbetriebnahme,ZE-Kote,ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
Trient,Le Châtelard,Wallis,im Normalbetrieb,1929,1118.7,562980,100870
Rüchlig,Aarau,Aargau,im Normalbetrieb,1929,363,646140,250060
Sembrancher,"Sembrancher, Les Moulins",Wallis,im Normalbetrieb,1929,728,578190,103110
Leuggelbach,Leuggelbach,Glarus,im Normalbetrieb,1930,550,722390,204180
Champsec,Champsec,Wallis,im Normalbetrieb,1930,903.3,585250,100640
Bocki 1,"Erstfeld, Ripshusen",Uri,im Normalbetrieb,1931,465.1,691040,188450
Schwanden (Sernf),Schwanden,Glarus,im Normalbetrieb,1931,537.6,725380,206280
Schwanden (Niederenbach),Schwanden,Glarus,im Normalbetrieb,1931,537.6,725380,206280
Mels (KW Stoffel),"Mels, Steigs",St.Gallen,im Normalbetrieb,1931,536.7,750220,212140
Orsières,Orsières,Wallis,im Normalbetrieb,1931,924,577050,96660
Emmenweid,Emmenbrücke,Luzern,im Normalbetrieb,1931,443.99,662670,213220
Ryburg-Schwörstadt,Schwörstadt,,im Normalbetrieb,1931,277.74,629700,270700
Kembs,"Kembs, Loechle",,im Normalbetrieb,1932,241.5,606070,278260
Islas,Celerina,Graubünden,im Normalbetrieb,1932,1718.45,785620,153340
Handeck 1,Handegg,Bern,im Normalbetrieb,1932,1309.64,666560,163210
Piottino,"Lavorgo, Nivo di Chironico",Tessin,im Normalbetrieb,1932,610.5,707690,143960
Albbruck,Albbruck,,im Umbau,1933,307.59,652230,270800
"Roseg, Samedan","Roseg, Samedan",Graubünden,im Normalbetrieb,1933,1724.1,787200,154070
Wettingen,Wettingen,Aargau,im Normalbetrieb,1933,363.6,666530,256630
Dietikon,Dietikon,Zürich,im Normalbetrieb,1933,387.2,673160,251510
Klingnau,"Klingnau, Gippingen",Aargau,im Normalbetrieb,1935,320,659200,271840
Stalvedro (Julia),Bivio,Graubünden,im Normalbetrieb,1936,1713.67,769430,149970
Oberrickenbach,Oberrickenbach,Nidwalden,im Normalbetrieb,1937,890,674900,192600
Etzelwerk Altendorf,Altendorf,Schwyz,im Normalbetrieb,1937,415.9,704140,227930
Engstligenalp,"Adelboden, Engstligenalp",Bern,im Normalbetrieb,1937,1868.84,609460,144210
Luchsingen,Luchsingen,Glarus,im Normalbetrieb,1940,595.8,721520,202900
Stalden (Kloster),"Engelberg, Stalden",Obwalden,im Normalbetrieb,1941,1066.7,676860,184320
Reckingen,Reckingen,,im Normalbetrieb,1941,329.74,667680,269310
Nenzlingen,Nenzlingen,Basel-Landschaft,im Normalbetrieb,1942,333.02,608240,254790
Silliboden,Brig-Glis,Wallis,im Normalbetrieb,1942,768,643570,128270
Riddes (l'eau potable),"Riddes, Pied du Mont",Wallis,im Normalbetrieb,1942,557,583760,113070
Niederlenz,Niederlenz,Aargau,im Normalbetrieb,1943,380,655680,250080
Pravizin 2 (Äuli),Flums,St.Gallen,im Normalbetrieb,1943,624.39,743950,216770
Trun,Trun,Graubünden,im Normalbetrieb,1943,871,718280,178090
Verbois,Russin,Genf,im Normalbetrieb,1943,355,491050,116530
Tsi (Centrale de pompage),Pt. de la Tsi / Liddes,Wallis,im Normalbetrieb,1943,1207,579480,93760
Innertkirchen 1 / 1a,Innertkirchen,Bern,im Normalbetrieb,1943,640,661200,172520
Bévieux,Le Bévieux,Waadt,im Normalbetrieb,1943,476.4,568400,123300
Mörel,Mörel,Wallis,im Normalbetrieb,1943,737.5,646430,133600
Pintrun,Trin,Graubünden,im Normalbetrieb,1944,613.8,745770,186630
Rupperswil,Auenstein,Aargau,im Normalbetrieb,1945,357.25,651030,251440
Wolfenschiessen,Wolfenschiessen,Nidwalden,im Normalbetrieb,1945,515.71,673000,194900
Rupperswil-Dotierzentrale,Rupperswil,Aargau,im Normalbetrieb,1945,351.4,650990,251300
Moos,Grellingen,Basel-Landschaft,im Normalbetrieb,1945,322.75,610750,254230
Val Strem,Sedrun,Graubünden,im Normalbetrieb,1945,1344.37,701420,170140
Sittertal,"St. Gallen, Sittertal",St.Gallen,im Normalbetrieb,1945,582.5,742240,252730
Herrentöbeli,Krummenau,St.Gallen,im Normalbetrieb,1945,707,731670,234110
Diesbach (Linth),Diesbach,Glarus,im Normalbetrieb,1945,588.06,720990,201230
Klusi,Erlenbach,Bern,im Normalbetrieb,1946,796.45,608390,168080
Tavanasa / Obersaxen (AHSAG),Tavanasa,Graubünden,im Normalbetrieb,1946,775.1,724700,179470
Sand (Plessur),"Chur, Sand",Graubünden,im Normalbetrieb,1947,610.1,760470,189850
Thur,Bürglen,Thurgau,im Normalbetrieb,1947,437.5,728270,268010
Niollet 1,"Le Niollet, Champex",Wallis,im Normalbetrieb,1947,1340.55,575430,96760
Tremola/Sella (Cent.di pomp.),Cap.dei Morti,Tessin,im Normalbetrieb,1947,2041.1,686930,156300
Airolo,Airolo,Tessin,im Normalbetrieb,1947,1139,688930,153440
Russein,Somvix,Graubünden,im Normalbetrieb,1947,962.8,711610,175380
Plons,"Plons, Gmde. Mels",St.Gallen,im Umbau,1948,478.2,749010,213310
Gsteig,Gsteig b.Gstaad,Bern,im Normalbetrieb,1948,1178,586920,137110
"Mühle, Weinfelden",Weinfelden,Thurgau,im Normalbetrieb,1948,424.7,724940,269100
Tiefencastel West,Tiefencastel,Graubünden,im Normalbetrieb,1949,826.3,762540,170330
Wiesti,Zermatt,Wallis,im Normalbetrieb,1949,1596.5,624310,97030
Realta,Rothenbrunnen,Graubünden,im Normalbetrieb,1949,622,751180,181210
Laufen (Wasserfall),Laufen,Basel-Landschaft,im Normalbetrieb,1949,348.15,604720,252100
Wassen  (Pfaffensprung),Pfaffensprung,Uri,im Normalbetrieb,1949,812.75,689570,174490
Giessbach,Brienz,Bern,im Normalbetrieb,1949,567.5,644350,176080
Grossbach,"Wangs, Gaschiels",St.Gallen,im Normalbetrieb,1950,494,752250,210250
Meiringen 2,"Meiringen, Haselholz",Bern,im Normalbetrieb,1950,839.5,657940,175900
Fätschbach,Linthal,Glarus,im Normalbetrieb,1950,683.2,718010,197210
Merlen,"Murgtal, Merlen",St.Gallen,stillgelegt,1950,1100.5,733590,215040
Miéville,"Vernayaz, Miéville",Wallis,im Normalbetrieb,1950,452.9,568340,110630
Lavey,Lavey,Waadt,im Normalbetrieb,1950,409.3,567150,118200
Handeck 2 / 2a ,Handegg,Bern,im Normalbetrieb,1950,1311.4,666260,162970
Ceresa 1,Faido,Tessin,im Normalbetrieb,1950,804.5,703610,149150
Clusanfe (Centrale de pompage),Clusanfe,Wallis,im Normalbetrieb,1950,1898,557300,109430
Cleuson (Centrale de pompage),"Siviez, Cleuson",Wallis,im Normalbetrieb,1950,2110,590970,106810
Campocologno 2,Campocologno,Graubünden,im Normalbetrieb,1950,521,808760,123530
Aletsch,Mörel,Wallis,im Normalbetrieb,1951,744,646500,133800
Neuhausen,Neuhausen,Schaffhausen,im Normalbetrieb,1951,363.54,688330,281690
Sassello,Roveredo,Graubünden,im Normalbetrieb,1951,284.2,729570,122250
