ZE-Name,ZE-Standort,ZE-Kanton,ZE-Status,ZE-Erste Inbetriebnahme,ZE-Kote,ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
Tobeläckerli,"Buchs, Steig - Aspenhölzli",St.Gallen,im Normalbetrieb,1903,549.74,753620,224790
Kandersteg (Zilfuri),"Kandersteg, Zilfuri",Bern,im Normalbetrieb,1903,1282.12,619420,149400
Bleiche,Niederurnen,Glarus,im Normalbetrieb,1903,512,721670,220420
Rossfall,Urnäsch,Appenzell A.Rh.,im Normalbetrieb,1903,871.3,739120,238960
"Moosweid, Adelboden","Adelboden, Moosweid",Bern,im Normalbetrieb,1903,1194.6,610610,149430
Preda,Preda bei Bergün,Graubünden,im Normalbetrieb,1903,1792,779300,162250
Morobbia,Giubiasco,Tessin,im Normalbetrieb,1903,264.6,721890,114180
Im Roos,Ebnat - Kappel,St.Gallen,im Normalbetrieb,1903,635.29,727980,235560
La Dernier,La Dernier,Waadt,im Normalbetrieb,1903,756.2,516740,172900
Madulain,Madulain,Graubünden,im Normalbetrieb,1903,1679.5,791400,162380
Clemgia,Scuol,Graubünden,im Normalbetrieb,1903,1194,818200,185900
Stenna (Flims),Flims,Graubünden,im Normalbetrieb,1904,1056.08,740690,188610
Ponte Brolla,"Tegna, Ponte Brolla",Tessin,im Normalbetrieb,1904,226,701340,115750
Bellerive,Soyhières,Jura,im Normalbetrieb,1905,401.82,594000,248000
Wasserauen,Rässenaueli,Appenzell I.Rh.,im Normalbetrieb,1905,891.95,749980,238540
Stechelberg,"Lauterbrunnen, Stechelberg",Bern,im Normalbetrieb,1905,907.1,635380,154930
"Wisserlen, Kerns","Kerns, Wisserlen",Obwalden,im Normalbetrieb,1905,572.68,665350,195820
Obermatt,Grafenort,Obwalden,im Normalbetrieb,1905,677.5,671330,188310
Tobel,Mels,St.Gallen,im Normalbetrieb,1906,714.6,748500,211540
Wolhusen (Geistlich),Wolhusen,Luzern,im Normalbetrieb,1906,563,648550,211750
"Blatten, am Kanal (SAK)","Oberriet, Blatten",St.Gallen,im Normalbetrieb,1906,424.11,760950,241830
Montlingen,Montlingen,St.Gallen,im Normalbetrieb,1906,418.86,761760,245360
Lienz,Lienz,St.Gallen,im Normalbetrieb,1906,429.89,757880,238130
Les Farettes,"Fontanney, Les Farettes",Waadt,im Normalbetrieb,1906,446.24,565140,129640
Zürchersmühle,Urnäsch,Appenzell A.Rh.,im Normalbetrieb,1907,769.3,740060,243980
Ticinetto,Chironico,Tessin,im Normalbetrieb,1907,600.7,708550,141890
Beulet,St. Léonard,Wallis,im Normalbetrieb,1907,543.5,598640,124090
Campocologno 1,Campocologno,Graubünden,im Normalbetrieb,1907,530.65,808640,123680
Mulin,Trin Mulin,Graubünden,im Normalbetrieb,1907,797,745060,188680
Navisence,Chippis,Wallis,im Normalbetrieb,1908,531,608300,125550
Schwanden (SNE),Schwanden,Glarus,im Normalbetrieb,1908,522,724980,206160
Montcherand,Montcherand,Waadt,im Normalbetrieb,1908,469.84,529280,175530
Martigny-Bourg,Martigny-Bourg,Wallis,im Normalbetrieb,1908,496.8,570640,104160
Innere Spinnerei,Unterägeri,Zug,im Normalbetrieb,1908,714,686010,221660
Am Löntsch,Netstal,Glarus,im Normalbetrieb,1908,481.75,722350,212990
Muslen,"Amden, Muslen",St.Gallen,im Normalbetrieb,1908,423.7,728720,222180
Lütschental,Lütschental,Bern,im Normalbetrieb,1908,726.46,639500,165250
Engeweiher,Schaffhausen,Schaffhausen,im Normalbetrieb,1909,390.78,689470,283220
Felsenau,Felsenau,Bern,im Normalbetrieb,1909,481.3,600060,201930
Ackersand 1,"Stalden, Ackersand",Wallis,im Normalbetrieb,1909,700.6,633650,121020
Refrain,Echelles de la Mort,,im Normalbetrieb,1909,549.61,557140,226460
Nesslau (Ijentalerbach),"Nesslau, Schneit",St.Gallen,im Normalbetrieb,1909,787.32,732260,231550
Aue,Baden,Aargau,im Normalbetrieb,1909,354.66,665760,258100
Dala,"Dalaloch, Leuk-Stadt",Wallis,im Normalbetrieb,1909,598,614260,129720
Gödis,"Murg, unterhalb Gödis",St.Gallen,im Normalbetrieb,1909,540.95,734800,219020
Sils (EWZ),Sils im Domleschg,Graubünden,im Normalbetrieb,1910,671.74,754880,174540
Monthey (Vièze),Monthey,Wallis,im Normalbetrieb,1910,436.2,562100,122100
Oelberg,"Fribourg, Oelberg",Freiburg,im Normalbetrieb,1910,543.25,579290,183430
Arniberg,Amsteg,Uri,im Normalbetrieb,1910,517,693740,180490
Robbia,"S. Carlo, Robbia",Graubünden,im Normalbetrieb,1910,1078.77,801840,136360
Sublin 2,Bex,Waadt,im Normalbetrieb,1911,558,569280,123820
Kandergrund,Inner-Kandergrund,Bern,im Normalbetrieb,1911,853.15,616940,154630
Chippis-Rhône,Chippis,Wallis,im Normalbetrieb,1911,527,608390,125620
Wyhlen,Grenzach-Wyhlen,,im Normalbetrieb,1912,255.99,620260,265370
Strick,Sennwald,St.Gallen,im Normalbetrieb,1912,493.22,755700,236560
Augst,Augst,Basel-Landschaft,im Normalbetrieb,1912,245,620410,265150
"Elggiskraft, Netstal",Netstal,Glarus,im Normalbetrieb,1912,452.4,723200,213800
"Zwingen, Obermatt",Zwingen,Basel-Landschaft,im Normalbetrieb,1913,342.19,606440,253970
Kallnach,Kallnach,Bern,im Normalbetrieb,1913,433.55,584000,207850
Pont de la Tine,"Ormont-Dessous, Le Pont",Waadt,im Normalbetrieb,1913,819.8,569660,133050
"Lüen (Plessur, Clasaurer)","Lüen, Tewald",Graubünden,im Normalbetrieb,1914,772.09,765360,188650
Laufenburg,Laufenburg,Aargau,im Normalbetrieb,1914,293.22,645930,267420
Choindez,Choindez,Jura,im Normalbetrieb,1914,454,595450,241270
Realp,Realp,Uri,im Normalbetrieb,1914,1541,681500,161450
Usine du Chanet,Boudry,Neuenburg,im Normalbetrieb,1914,459,553590,201090
Blatten,Blatten,Wallis,im Normalbetrieb,1915,1570,629480,141360
Bramois (Groupes 1 à 4),Bramois,Wallis,im Normalbetrieb,1915,532.15,597450,119340
Sorniot (Centrale de pompage),"Fully, Lac Inf. dé Fully",Wallis,stillgelegt,1915,1988.94,573860,112880
AAREwerk 94 Thun,Thun,Bern,im Normalbetrieb,1917,547.19,613880,178960
Soor,Bütschwil,St.Gallen,im Normalbetrieb,1917,575,723880,246360
Gösgen,Niedergösgen,Solothurn,im Normalbetrieb,1917,379.24,640850,246650
Blumenstein,Blumenstein,Bern,im Normalbetrieb,1918,768.8,605710,175170
Ritom,Piotta,Tessin,im Normalbetrieb,1920,1007.24,694900,152520
Pilgersteg,Rüti,Zürich,im Normalbetrieb,1920,501,708480,236320
Bassecourt,"Chez Theurillat, Haute-Sorne",Jura,im Normalbetrieb,1920,489,584380,242260
"Mühlefuhr, Ennenda",Ennenda,Glarus,im Normalbetrieb,1920,482.26,724970,209700
Mühleberg,Buttenried,Bern,im Normalbetrieb,1920,470.5,588270,202020
Eglisau,Zweidlen,Zürich,im Normalbetrieb,1920,343.99,677850,269870
Solis,Vaz/Obervaz,Graubünden,im Normalbetrieb,1920,824.09,759620,172200
Unteraa (Lungerersee),Giswil,Obwalden,im Normalbetrieb,1921,481.5,656150,185850
"Brummbach, Linthal","Linthal, Stachelberg",Glarus,im Normalbetrieb,1921,640.5,719080,198580
Broc,Broc,Freiburg,im Normalbetrieb,1921,682,574770,162120
Calcaccia,"Airolo, Launc",Tessin,im Normalbetrieb,1922,1065,691770,152720
Küblis,Küblis,Graubünden,im Normalbetrieb,1922,821.84,778490,198540
Schwarzhäusern,Schwarzhäusern,Bern,im Normalbetrieb,1923,410.64,626250,234050
Amsteg,Amsteg,Uri,im Normalbetrieb,1923,527.5,694280,180250
Châtelard-Barberine 1 + 2,Le Châtelard,Wallis,im Normalbetrieb,1923,1124.4,562850,101280
Bernina (Centrale di pomp.),"Poschiavo, Bernina",Graubünden,im Normalbetrieb,1923,2234.7,798430,142840
"Linthkraft, Netstal",Netstal,Glarus,im Normalbetrieb,1923,449,723190,214910
Turtmann,"Turtmann, Müllacheren",Wallis,im Normalbetrieb,1925,634.4,619060,127140
Chancy-Pougny,Avully / Chancy,Genf,im Normalbetrieb,1925,348.55,487060,113160
Klosters,Klosters,Graubünden,im Normalbetrieb,1925,1196.74,787320,192920
Tremorgio,Rodi-Fiesso,Tessin,im Normalbetrieb,1925,948.5,699660,149590
Trempel,"Trempel, Ebnat-Kappel",St.Gallen,im Normalbetrieb,1925,680,730580,234610
"Risi, Näfels",Näfels,Glarus,im Normalbetrieb,1925,444.7,722840,217230
Rempen,"Vorderthal, Rempen",Schwyz,im Normalbetrieb,1926,647.5,710670,221850
Oberems (Argessa),Oberems,Wallis,im Normalbetrieb,1926,1372.05,619280,125790
Siebnen,Siebnen,Schwyz,im Normalbetrieb,1926,451.6,710790,225550
Stampa,Sonvico,Tessin,im Normalbetrieb,1926,346.75,718890,100770
Meretschi (Pumpzentrale),"Oberems, Meretschialp",Wallis,im Normalbetrieb,1926,2273.2,616750,123290
Vernayaz (CFF),Vernayaz,Wallis,im Normalbetrieb,1927,456,568880,109160
Cavaglia,"Poschiavo, Cavaglia",Graubünden,im Normalbetrieb,1927,1706.24,799860,138500
La Peuffeyre,La Peuffeyre,Waadt,im Normalbetrieb,1927,735.5,570940,123910
Oberterzen (Büeli),Oberterzen,St.Gallen,im Normalbetrieb,1927,760,738230,218220
Palü,"Poschiavo, Alpe Palü",Graubünden,im Normalbetrieb,1927,1954.54,799280,138970
Altendorf (Buchs),"Buchs, Altendorf",St.Gallen,im Normalbetrieb,1928,485.7,753810,224880
Schlappin,Klosters-Dorf,Graubünden,im Normalbetrieb,1928,1180.54,785940,195550
Riedji,"Stalden, Riedji",Wallis,im Normalbetrieb,1929,1428,634820,120980
